TMO_AN,TMO_VS,Mod_AN,Mod_MF,Support_AN,[NO3−],pH,potential,Mod_Method,Support_porous foam,Support_mesh,Support_fiber,Support_sheet,Morphology_particle,Morphology_sphere,Morphology_wire,Morphology_rod,Morphology_tube,Morphology_belt,Morphology_sheet,Faradaic efficiency
27,2.67,27,0,6,1,14,-0.2,1,0,0,1,0,0,1,0,0,0,0,0,0.8856
27,2.67,47,0,6,0.0144,7,-0.65,1,0,0,1,0,0,0,1,0,0,0,0,0.8945
27,2.67,27,0,6,0.1,7,-0.4,1,0,0,1,0,0,0,1,0,0,0,0,0.8045
27,2.67,47,0.015,6,0.1008,7,-0.75,0,0,0,1,0,0,0,1,0,0,0,0,0.9561
27,2.67,26,0.0645,6,0.1,13,-0.5,1,1,0,0,0,0,0,1,0,0,0,0,0.965
27,2.67,29,0.073,6,1,14,-0.3,1,0,0,1,0,0,1,0,0,0,0,0,1
30,2,29,0.3345,26,0.1,13,-0.7,0,0,1,0,0,0,0,1,0,0,0,0,0.2058
29,1,29,0,29,3,14,-0.4,1,1,0,0,0,0,0,1,0,0,0,0,0.3852
29,1,29,0,29,1,12,0,1,1,0,0,0,0,0,1,0,0,0,0,0.2536
29,1,29,0,6,0.0036,14,-0.176,1,0,0,1,0,0,1,0,0,0,0,0,0.5508
29,2,29,0,6,1,14,-0.3,1,0,0,1,0,0,1,0,0,0,0,0,0.5264
29,2,27,0.0198,29,0.0072,7.4,-0.83,1,1,0,0,0,0,0,0,0,0,0,1,0.8126
29,1,28,0.0255,29,0.1,14,-0.4,1,0,1,0,0,0,0,1,0,0,0,0,0.9456
29,1,44,0.01,29,0.1,14,-0.4,0,1,0,0,0,0,0,1,0,0,0,0,0.9066
29,4,44,0.04,29,1,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0.2892
30,2,29,0.3345,26,0.1,13,-0.4,0,0,1,0,0,0,0,1,0,0,0,0,0.1856
23,5,26,0.046,6,0.5,14,-0.7,1,0,0,1,0,0,0,0,0,0,1,0,0.7077
23,5,26,0.046,6,0.1,14,-0.3,1,0,0,1,0,0,0,0,0,0,1,0,0.7118
23,5,23,0,6,0.1,1,-0.4,1,0,0,1,0,0,0,0,0,0,1,0,0.2783
27,2.67,27,0,22,0.1,7.4,-0.7,1,0,1,0,0,0,0,0,0,0,0,1,0.893
29,2,27,0.0347,26,0.1,14,-0.3,1,0,1,0,0,1,0,0,0,0,0,0,0.839
29,1,30,0.0347,26,0.0072,14,-0.15,1,0,1,0,0,1,0,0,0,0,0,0,0.713
29,2,27,0.0347,26,0.0072,14,-0.15,1,0,1,0,0,1,0,0,0,0,0,0,0.643
22,4,22,0,6,0.4,7.4,-0.52,1,0,0,1,0,0,0,0,0,0,0,1,0.751
22,4,27,0.0135,6,0.4,7.4,-0.52,0,0,0,1,0,0,0,0,0,0,0,1,0.752
22,4,27,0.1722,22,0.1,13,-0.5,1,0,0,0,1,0,0,0,0,0,1,0,0.982
22,4,29,0.029,6,0.4,7.4,-0.92,0,0,0,1,0,0,0,0,0,0,0,1,0.442
26,3,26,0,6,0.02,13,-0.5,1,0,0,1,0,0,0,1,0,0,0,0,0.864
26,3,26,0,6,0.1,14,-0.2,1,0,0,1,0,0,0,0,0,0,0,1,0.6027
26,3,26,0,6,0.1,14,-0.4,1,0,0,1,0,1,0,0,0,0,0,0,0.8194
26,2.67,26,0,26,0.1,13,-0.4,1,0,0,0,1,1,0,0,0,0,0,0,0.8351
26,2.67,26,0,6,0.1,13,-0.8,1,1,0,0,0,1,0,0,0,0,0,0,0.7237
26,2.67,29,0.061,6,0.05,13,-0.6,1,0,0,1,0,0,0,0,0,0,0,1,0.872
27,2.67,27,0,28,0.01,7,-0.546,1,1,0,0,0,0,0,0,0,0,0,1,0.9861
27,2.67,27,0,6,0.01,13,-1.1,1,0,0,1,0,1,0,0,0,0,0,0,0.6102
27,2.67,27,0,6,0.1,7.4,-0.6,1,0,0,1,0,0,0,0,0,0,0,1,0.828
27,2.67,27,0,6,1,14,-0.4,1,0,0,1,0,0,1,0,0,0,0,0,0.9124
27,2.67,47,0.015,6,0.1008,7,-0.85,0,0,0,1,0,0,0,1,0,0,0,0,0.9201
27,2.67,26,0.0645,6,0.1,13,-0.6,1,1,0,0,0,0,0,1,0,0,0,0,0.9425
27,2.67,29,0.073,6,1,14,-0.2,1,0,0,1,0,0,1,0,0,0,0,0,0.9403
29,1,29,0,6,0.0036,14,-0.076,1,0,0,1,0,0,1,0,0,0,0,0,0.3077
29,1,29,0,29,1,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0.2109
29,1,29,0,29,1,7,-0.4,1,1,0,0,0,0,0,1,0,0,0,0,0.4965
29,1,29,0,29,0.1,14,-0.2,1,0,1,0,0,0,0,1,0,0,0,0,0.7434
29,1,44,0.01,29,1,12,-0.4,0,1,0,0,0,0,0,1,0,0,0,0,0.7007
29,1,44,0.01,29,3,14,-0.4,0,1,0,0,0,0,0,1,0,0,0,0,0.71
29,1,44,0.01,29,1,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0.244
29,1,44,0.01,29,1,14,-0.1,0,1,0,0,0,0,0,1,0,0,0,0,0.5507
29,2,30,0.015,29,0.01,7,-1,1,0,0,0,1,0,0,0,0,0,0,1,0.7351
23,5,23,0,6,0.1,1,-0.3,1,0,0,1,0,0,0,0,0,0,1,0,0.2354
30,2,29,0.3345,26,0.1,13,-0.5,0,0,1,0,0,0,0,1,0,0,0,0,0.2321
23,5,26,0.046,6,0.1,1,-0.8,1,0,0,1,0,0,0,0,0,0,1,0,0.5709
23,5,26,0.046,6,0.1,1,-0.6,1,0,0,1,0,0,0,0,0,0,1,0,0.723
29,2,29,0,6,1,14,-0.2,1,0,0,1,0,0,1,0,0,0,0,0,0.1223
29,1,27,0.0347,26,0.1,14,-0.3,1,0,1,0,0,1,0,0,0,0,0,0,0.9
29,2,47,0.0347,26,0.1,14,-0.3,1,0,1,0,0,1,0,0,0,0,0,0,0.864
29,1,27,0.0347,26,0.0072,14,-0.15,1,0,1,0,0,1,0,0,0,0,0,0,0.738
22,4,22,0,6,0.4,7.4,-0.92,1,0,0,1,0,0,0,0,0,0,0,1,0.623
22,4,27,0.0135,6,0.4,7.4,-0.92,0,0,0,1,0,0,0,0,0,0,0,1,0.771
22,4,27,0.1722,22,0.1,13,-0.4,1,0,0,0,1,0,0,0,0,0,1,0,0.8942
22,4,29,0.029,6,0.4,7.4,-0.72,0,0,0,1,0,0,0,0,0,0,0,1,0.553
26,3,26,0,6,0.1,14,-0.35,1,0,0,1,0,1,0,0,0,0,0,0,0.7841
26,3,26,0,6,0.1,14,-0.3,1,0,0,1,0,1,0,0,0,0,0,0,0.6819
26,2.67,26,0,6,0.1,13,-0.7,1,1,0,0,0,1,0,0,0,0,0,0,0.8038
26,3,26,0,6,0.1,14,-0.25,1,0,0,1,0,0,0,0,0,0,0,1,0.7674
26,2.67,26,0,26,0.1,13,-0.5,1,0,0,0,1,1,0,0,0,0,0,0,0.915
26,2.67,29,0.061,6,0.005,13,-0.6,1,0,0,1,0,0,0,0,0,0,0,1,0.403
27,2.67,27,0,6,0.01,7,-1,1,0,0,1,0,0,0,1,0,0,0,0,0.3258
27,2.67,27,0,27,0.1,7,-0.4,1,1,0,0,0,0,0,0,0,1,0,0,0.8359
27,2.67,27,0,27,0.1,7,-1.2,1,1,0,0,0,0,0,0,0,1,0,0,0.7994
27,2.67,47,0.015,6,0.1008,7,-0.95,0,0,0,1,0,0,0,1,0,0,0,0,0.9201
27,2.67,47,0.015,6,0.0144,7,-0.75,0,0,0,1,0,0,0,1,0,0,0,0,0.8296
27,2.67,29,0.073,6,1,14,-0.1,1,0,0,1,0,0,1,0,0,0,0,0,0.764
27,2.67,47,0.015,6,0.0144,7,-0.65,0,0,0,1,0,0,0,1,0,0,0,0,0.9611
29,1,29,0,29,0.1,14,-0.3,1,0,1,0,0,0,0,1,0,0,0,0,0.7965
29,1,29,0,29,1,14,-0.1,1,1,0,0,0,0,0,1,0,0,0,0,0.2694
29,1,29,0,29,1,14,-0.2,1,1,0,0,0,0,0,1,0,0,0,0,0.4042
29,1,29,0,29,1,7,-0.3,1,1,0,0,0,0,0,1,0,0,0,0,0.3372
29,1,44,0.01,29,1,14,-0.2,0,1,0,0,0,0,0,1,0,0,0,0,0.6421
29,1,44,0.01,29,1,14,-0.3,0,1,0,0,0,0,0,1,0,0,0,0,0.7369
29,1,44,0.01,29,3,14,-0.3,0,1,0,0,0,0,0,1,0,0,0,0,0.6933
29,2,30,0.015,29,0.01,7,-0.9,1,0,0,0,1,0,0,0,0,0,0,1,0.7853
29,2,29,0,29,0.1,14,-0.1,1,1,0,0,0,0,0,1,0,0,0,0,0.5063
30,2,29,0.3345,26,0.1,13,-0.9,0,0,1,0,0,0,0,1,0,0,0,0,0.1204
30,2,29,0.3345,26,0.1,13,-0.6,0,0,1,0,0,0,0,1,0,0,0,0,0.3159
23,5,26,0.046,6,0.1,1,-0.7,1,0,0,1,0,0,0,0,0,0,1,0,0.6041
23,5,26,0.046,6,0.1,14,-0.4,1,0,0,1,0,0,0,0,0,0,1,0,0.7517
23,5,23,0,6,0.1,14,-0.7,1,0,0,1,0,0,0,0,0,0,1,0,0.5712
29,1,47,0.0347,26,0.1,14,-0.3,1,0,1,0,0,1,0,0,0,0,0,0,0.856
29,2,26,0.0347,26,0.1,14,-0.3,1,0,1,0,0,1,0,0,0,0,0,0,0.86
29,2,47,0.0347,26,0.0072,14,-0.15,1,0,1,0,0,1,0,0,0,0,0,0,0.755
22,4,22,0,6,0.4,7.4,-1.12,1,0,0,1,0,0,0,0,0,0,0,1,0.543
22,4,27,0.0135,6,0.4,7.4,-1.12,0,0,0,1,0,0,0,0,0,0,0,1,0.644
22,4,27,0.1722,22,0.1,13,-0.3,1,0,0,0,1,0,0,0,0,0,1,0,0.8764
22,4,27,0.0135,6,0.8,7.4,-0.72,0,0,0,1,0,0,0,0,0,0,0,1,0.74
26,3,26,0,6,0.1,14,-0.2,1,0,0,1,0,1,0,0,0,0,0,0,0.3442
26,3,26,0,6,0.1,14,-0.25,1,0,0,1,0,1,0,0,0,0,0,0,0.6151
